name,sample,http_code,size_download_bytes,time_starttransfer_s,time_total_s
home,1,200,41505,0.102986,0.104234
home,2,200,41505,0.099623,0.100731
home,3,200,41505,0.099308,0.100337
home,4,200,41505,0.097488,0.098403
home,5,200,41505,0.097656,0.098590
home,6,200,41505,0.096981,0.097892
home,7,200,41505,0.096971,0.097940
home,8,200,41505,0.097524,0.098482
home,9,200,41505,0.096407,0.097408
home,10,200,41505,0.096328,0.097422
search,1,200,39024,0.107641,0.108802
search,2,200,39024,0.107173,0.108389
search,3,200,39024,0.105631,0.106591
search,4,200,39024,0.125167,0.131431
search,5,200,39024,0.145135,0.146183
search,6,200,39024,0.105995,0.106970
search,7,200,39024,0.113758,0.114924
search,8,200,39024,0.107060,0.108001
search,9,200,39024,0.107295,0.108372
search,10,200,39024,0.107715,0.108801
category,1,200,35981,0.098063,0.099380
category,2,200,35981,0.098426,0.099736
category,3,200,35981,0.095450,0.096643
category,4,200,35981,0.101019,0.102377
category,5,200,35981,0.100745,0.102009
category,6,200,35981,0.104443,0.108421
category,7,200,35981,0.095235,0.096377
category,8,200,35981,0.097871,0.099066
category,9,200,35981,0.096702,0.097967
category,10,200,35981,0.097110,0.098330
ad,1,200,39071,0.102446,0.103747
ad,2,200,39071,0.101248,0.102480
ad,3,200,39071,0.101570,0.102773
ad,4,200,39071,0.100750,0.102090
ad,5,200,39071,0.102317,0.103558
ad,6,200,39071,0.102850,0.104007
ad,7,200,39071,0.104338,0.105525
ad,8,200,39072,0.102230,0.103490
ad,9,200,39072,0.101942,0.103257
ad,10,200,39072,0.102450,0.103680
robots,1,200,127,0.078542,0.079647
robots,2,200,127,0.075216,0.076262
robots,3,200,127,0.077665,0.078649
robots,4,200,127,0.077667,0.078631
robots,5,200,127,0.077607,0.078618
robots,6,200,127,0.077662,0.078647
robots,7,200,127,0.075756,0.076838
robots,8,200,127,0.075184,0.076232
robots,9,200,127,0.075375,0.076440
robots,10,200,127,0.074985,0.075900
sitemap_index,1,200,268,0.079833,0.080954
sitemap_index,2,200,268,0.080720,0.081841
sitemap_index,3,200,268,0.079525,0.080751
sitemap_index,4,200,268,0.078648,0.079757
sitemap_index,5,200,268,0.079963,0.081082
sitemap_index,6,200,268,0.079240,0.080349
sitemap_index,7,200,268,0.079400,0.080573
sitemap_index,8,200,268,0.080880,0.081966
sitemap_index,9,200,268,0.080146,0.081194
sitemap_index,10,200,268,0.079627,0.080636
sitemap_categories,1,200,319,0.089891,0.090853
sitemap_categories,2,200,319,0.078597,0.079580
sitemap_categories,3,200,319,0.104024,0.104993
sitemap_categories,4,200,319,0.090216,0.091132
sitemap_categories,5,200,319,0.079443,0.080413
sitemap_categories,6,200,319,0.079434,0.080415
sitemap_categories,7,200,319,0.079816,0.080932
sitemap_categories,8,200,319,0.080611,0.081674
sitemap_categories,9,200,319,0.082149,0.083427
sitemap_categories,10,200,319,0.081630,0.082963
