name,sample,http_code,size_download_bytes,time_starttransfer_s,time_total_s
home,1,200,3824,0.013489,0.013782
home,2,200,3824,0.013416,0.013786
home,3,200,3824,0.013011,0.013412
home,4,200,3824,0.012826,0.013233
home,5,200,3824,0.012703,0.013110
home,6,200,3824,0.012742,0.013096
home,7,200,3824,0.012688,0.013012
home,8,200,3824,0.013021,0.013425
home,9,200,3824,0.012549,0.012889
home,10,200,3824,0.012788,0.013133
search,1,200,2729,0.012992,0.013224
search,2,200,2729,0.012954,0.013317
search,3,200,2729,0.013843,0.014110
search,4,200,2729,0.013266,0.013933
search,5,200,2729,0.017307,0.017914
search,6,200,2729,0.017117,0.017806
search,7,200,2729,0.017800,0.018377
search,8,200,2729,0.017924,0.019473
search,9,200,2729,0.015889,0.016241
search,10,200,2729,0.013741,0.014060
category,1,200,1817,0.014395,0.014840
category,2,200,1817,0.011358,0.011793
category,3,200,1817,0.015355,0.015985
category,4,200,1817,0.014964,0.015439
category,5,200,1817,0.012650,0.013013
category,6,200,1817,0.011658,0.012036
category,7,200,1817,0.011250,0.011648
category,8,200,1817,0.014374,0.014933
category,9,200,1817,0.014430,0.014979
category,10,200,1817,0.014488,0.015110
ad,1,200,4875,0.015818,0.016231
ad,2,200,4875,0.014839,0.015263
ad,3,200,4875,0.016049,0.016468
ad,4,200,4875,0.017265,0.017779
ad,5,200,4875,0.019271,0.019932
ad,6,200,4875,0.021570,0.022141
ad,7,200,4875,0.018135,0.018645
ad,8,200,4875,0.016009,0.016857
ad,9,200,4875,0.015611,0.016091
ad,10,200,4875,0.018156,0.018879
robots,1,200,127,0.011552,0.012114
robots,2,200,127,0.011126,0.011801
robots,3,200,127,0.011388,0.011918
robots,4,200,127,0.011528,0.012147
robots,5,200,127,0.010595,0.011044
robots,6,200,127,0.011229,0.011758
robots,7,200,127,0.011560,0.012080
robots,8,200,127,0.011233,0.011709
robots,9,200,127,0.011373,0.011994
robots,10,200,127,0.010166,0.010591
sitemap_index,1,200,269,0.011899,0.012381
sitemap_index,2,200,269,0.012809,0.013582
sitemap_index,3,200,269,0.010805,0.011292
sitemap_index,4,200,269,0.010068,0.010510
sitemap_index,5,200,269,0.009942,0.010417
sitemap_index,6,200,269,0.012618,0.013278
sitemap_index,7,200,269,0.011076,0.011568
sitemap_index,8,200,269,0.010675,0.011166
sitemap_index,9,200,269,0.010362,0.011042
sitemap_index,10,200,269,0.012217,0.012877
sitemap_categories,1,200,320,0.013387,0.014039
sitemap_categories,2,200,320,0.010189,0.010550
sitemap_categories,3,200,320,0.011307,0.011895
sitemap_categories,4,200,320,0.010042,0.010431
sitemap_categories,5,200,320,0.010674,0.011065
sitemap_categories,6,200,320,0.009310,0.009723
sitemap_categories,7,200,320,0.009620,0.010019
sitemap_categories,8,200,320,0.009493,0.009888
sitemap_categories,9,200,320,0.009477,0.010185
sitemap_categories,10,200,320,0.012026,0.012659
