name,sample,http_code,size_download_bytes,time_starttransfer_s,time_total_s
home,1,200,3824,0.013852,0.014188
home,2,200,3824,0.013483,0.013792
home,3,200,3824,0.013297,0.013672
home,4,200,3824,0.012934,0.013229
home,5,200,3824,0.013070,0.013367
home,6,200,3824,0.012732,0.013120
home,7,200,3824,0.013371,0.013724
home,8,200,3824,0.013186,0.013529
home,9,200,3824,0.012728,0.013088
home,10,200,3824,0.012876,0.013250
search,1,200,2729,0.013409,0.013818
search,2,200,2729,0.013168,0.013544
search,3,200,2729,0.013086,0.013439
search,4,200,2729,0.013722,0.014055
search,5,200,2729,0.013731,0.014112
search,6,200,2729,0.014147,0.014527
search,7,200,2729,0.013921,0.014299
search,8,200,2729,0.013475,0.013838
search,9,200,2729,0.013351,0.013738
search,10,200,2729,0.013199,0.013557
category,1,200,1817,0.011552,0.011970
category,2,200,1817,0.011750,0.012183
category,3,200,1817,0.011786,0.012215
category,4,200,1817,0.011810,0.012229
category,5,200,1817,0.011661,0.011992
category,6,200,1817,0.012114,0.012581
category,7,200,1817,0.011638,0.012015
category,8,200,1817,0.011430,0.011790
category,9,200,1817,0.011841,0.012267
category,10,200,1817,0.011860,0.012270
ad,1,200,4875,0.015948,0.016364
ad,2,200,4875,0.015276,0.015696
ad,3,200,4875,0.015497,0.015896
ad,4,200,4875,0.015380,0.015820
ad,5,200,4875,0.015406,0.015808
ad,6,200,4875,0.015132,0.015635
ad,7,200,4875,0.016104,0.016139
ad,8,200,4875,0.015806,0.016104
ad,9,200,4875,0.015445,0.015892
ad,10,200,4875,0.015154,0.015508
robots,1,200,24,0.000254,0.000283
robots,2,200,24,0.000276,0.000306
robots,3,200,24,0.000259,0.000288
robots,4,200,24,0.000297,0.000324
robots,5,200,24,0.000228,0.000256
robots,6,200,24,0.000210,0.000236
robots,7,200,24,0.000282,0.000316
robots,8,200,24,0.000228,0.000253
robots,9,200,24,0.000310,0.000345
robots,10,200,24,0.000222,0.000247
sitemap_index,1,200,269,0.009517,0.009931
sitemap_index,2,200,269,0.009341,0.009785
sitemap_index,3,200,269,0.009482,0.009789
sitemap_index,4,200,269,0.009316,0.009690
sitemap_index,5,200,269,0.009430,0.009788
sitemap_index,6,200,269,0.009759,0.009795
sitemap_index,7,200,269,0.009892,0.010247
sitemap_index,8,200,269,0.009398,0.009837
sitemap_index,9,200,269,0.009549,0.009984
sitemap_index,10,200,269,0.009797,0.010124
sitemap_categories,1,200,320,0.009473,0.009849
sitemap_categories,2,200,320,0.010041,0.010425
sitemap_categories,3,200,320,0.009633,0.010013
sitemap_categories,4,200,320,0.009368,0.009691
sitemap_categories,5,200,320,0.009639,0.009676
sitemap_categories,6,200,320,0.009674,0.010062
sitemap_categories,7,200,320,0.009128,0.009520
sitemap_categories,8,200,320,0.009315,0.009877
sitemap_categories,9,200,320,0.010344,0.010806
sitemap_categories,10,200,320,0.009758,0.010209
